"Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM"
"14.36,9572,9.37,69.96,High"
"13.9,7148,9.48,65.28,Normal"
"14.32,8776,8.68,67.43,Normal"
"14.6,8180,8.88,64.4,Normal"
"14.01,8030,9.67,68.22,Normal"
"13.04,8577,8.21,68.74,Normal"
"14.28,10780,9.86,68.86,High"
"14.61,9593,9.55,67.99,High"
"14.73,9644,10.33,69.79,High"
"14.47,9860,9,66.95,High"
"14.84,8867,9.29,71.26,High"
"14.71,8201,8.64,68.81,Normal"
"13.65,8428,8.67,65.06,Normal"
"13.78,8856,8.4,65.53,Normal"
"13.76,8367,8.91,69.63,Normal"
"14.14,8292,8.69,69.24,Normal"
"13.99,9666,8.71,67.19,Normal"
"13.47,11118,10,69.26,High"
"14.97,10290,9.34,70.18,High"
"17.8,16891,12.83,71.52,Very-High"
"14.13,11378,11.18,70.56,High"
"15.63,12067,11.12,69.43,High"
"15.21,11390,11.11,71.64,High"
"14.62,7385,08.03,64.07,Normal"
"13.27,10499,9.58,69.23,High"
"12.84,6995,5.64,69.78,Normal"
"13.61,9771,8.63,62.65,Normal"
"13.35,11304,9.29,64.97,High"
"13.07,10138,8.84,67.24,Normal"
"13.7,11710,9.99,68.76,High"
"13.46,12224,10.57,70.29,High"
"12.74,11212,9.25,69.95,High"
"12.61,11030,8.8,68.37,High"
"12.79,11376,9.61,71.37,High"
"13.11,10504,9.59,69.19,High"
"12.77,12412,10,71.58,High"
"13.36,12291,10.1,71.77,High"
"13.24,11142,8.66,68.97,High"
"12.27,7041,06.06,68.86,Normal"
"13.29,8016,9.71,69.51,Normal"
"13.87,8254,9.14,65.96,Normal"
"13.48,8504,9.44,71.41,High"
"12.61,11017,8.69,68.82,High"
"12.64,10539,08.07,67.13,Normal"
"13.04,10055,9.38,67.22,High"
"13.27,8921,09.02,67.13,Normal"
"13.01,11562,8.9,68.81,High"
"13.19,11840,8.41,69.56,High"
"13.04,6155,6.77,69.55,Normal"
"12.95,5924,6.69,69.08,Normal"
"13.28,11540,10.41,69.25,High"
"12.62,11225,9.45,63.44,Normal"
"14.57,12436,11.29,73.77,High"
"12.73,12939,10.44,70.95,High"
"14.75,14999,11.48,73.23,Very-High"
"13.63,11063,10.94,72.45,High"
"14.56,10965,11.09,69.5,High"
"13.75,8134,8.62,71.32,Normal"
"14.09,10790,09.07,69.59,High"
"12.89,6321,7.2,64.73,Normal"
"13.33,9270,8.27,70.96,High"
"13.05,10215,7.87,68.79,Normal"
"12.38,10389,8.12,66.36,Normal"
"14.34,10616,8.62,70.12,High"
"13.68,11050,7.88,68.97,High"
"13.88,9662,8.97,72.53,High"
"13.3,9668,08.07,69.84,Normal"
"12.81,8440,8.1,67.59,Normal"
"12.72,10367,8.32,68.01,Normal"
"12.44,11324,8.55,71.53,High"
"13.68,9089,8.27,67.94,Normal"
"16.53,14540,11.59,73.69,Very-High"
"14.33,12168,11.04,73.73,High"
"13.18,10195,10.32,70.1,High"
"15.07,10754,11.63,72.82,High"
"14.98,13331,11.34,74.5,Very-High"
"14.27,13317,10.81,73.84,High"
"14.55,12818,10.67,70.38,High"
"13.28,10736,9.19,71.67,High"
"13.34,10309,8.75,68.6,High"
"12.46,10260,8.39,70.26,High"
"11.93,9945,7.24,67.98,Normal"
"12.41,11672,8.7,71.24,High"
"12.81,11807,9.86,71.13,High"
"13.55,10858,9.27,70.83,High"
"12.85,9406,8.54,70.18,Normal"
"12.88,11415,9.7,71.24,High"
"12.76,9417,8.26,70.39,Normal"
"12.83,7780,7.84,67.78,Normal"
"15.55,14360,11.92,72.41,Very-High"
"13.31,11818,10.14,70.98,High"
"13.04,10588,8.6,71.22,High"
"13.88,10184,8.56,70,High"
"12.04,10380,7.9,71.29,Normal"
"12.28,11792,08.04,69.21,High"
"12.93,10032,8.12,70.64,High"
"12.84,8825,8.58,71.32,Normal"
"12.17,9163,6.92,66.34,Normal"
"12.63,9699,8,68.17,Normal"
"12.64,10546,7.59,70.02,Normal"
"12.63,11670,8.28,67.83,High"
"15.37,12240,11.2,72.71,High"
"14.8,10454,10.33,72.21,High"
"12.54,10662,8.3,69.98,High"
"12.83,10040,8.71,68.24,Normal"
"11.68,10755,07.05,68.67,Normal"
"11.98,10995,7.8,69.02,Normal"
"12.35,9735,8.52,66.16,Normal"
"12.19,9550,7.53,68.26,Normal"
"12.29,10140,7.63,68.84,Normal"
"11.77,9860,7.44,69.06,Normal"
"11.76,8585,7.85,67.07,Normal"
"12.45,11531,7.56,69.17,Normal"
"12.31,10454,7.87,65.6,Normal"
"12.07,9400,7.64,65.13,Normal"
"12.17,8210,07.05,68.33,Normal"
"11.58,9855,07.09,65.76,Normal"
"14.42,14704,10.75,71.01,High"
"12.92,12752,9.97,70.47,High"
"13.05,8877,9.4,66.85,Normal"
"13.38,13267,9.9,69.39,High"
"13.67,10487,8.87,69.42,High"
"13.62,9916,9.27,67.93,High"
"13.93,10323,8.33,68.75,High"
"12.88,10410,08.09,68.27,Normal"
"13.06,8638,8.38,66.73,Normal"
"13.29,8256,8,67.9,Normal"
"12.74,10405,8.3,66.73,Normal"
"12.58,11317,8.18,63.4,Normal"
"13.12,9377,8.29,68.08,Normal"
"13.28,9471,7.48,68.19,Normal"
"16.03,14108,11.8,70.2,Very-High"
"12.73,10038,08.08,70.73,Normal"
"12.26,9969,08.07,67.65,Normal"
"12.19,9266,7.34,68.67,Normal"
"12.52,9931,7.7,69.42,Normal"
"12.86,10026,7.77,70.78,Normal"
"12.93,11259,7.59,69.87,High"
"12.49,8737,8.34,69.3,Normal"
"12.37,9173,7.71,69.46,Normal"
"11.95,10735,7.55,70.01,Normal"
"12.59,7934,7.71,69.15,Normal"
"12.84,10302,8.39,70.27,High"
"11.64,7980,07.08,68.26,Normal"
"12.06,8422,7.39,70.03,Normal"
"12,8533,8.19,63.66,Normal"
"14.7,12247,10.95,71.42,High"
"14.75,11916,10.97,71.66,High"
"12.17,12819,08.08,70.73,High"
"12.78,12424,8.25,71.14,High"
"11.86,13563,8.47,71.1,High"
"11.7,12269,7.44,70.08,Normal"
"12.1,12945,7.2,71.52,High"
"11.38,11768,6.71,68.35,Normal"
"11.63,11760,8.47,72.1,High"
"13.16,15716,10.13,73.41,High"
"12.98,14122,10.18,70.12,High"
"12.57,11879,8.18,71.11,High"
"13.26,14393,8.67,70.46,High"
"13.91,14711,8.92,65.31,High"
"12.59,11938,6.88,62.39,Normal"
"12.88,11950,7.34,67.36,Normal"
"13.17,18034,11.15,73.36,Very-High"
"14.13,15439,10.26,72.18,High"
"13.07,18520,11.17,73.01,Very-High"
"12.63,12587,8.81,68.99,High"
"13.34,23888,11.64,74.2,Very-High"
"13.96,17733,11.67,74.54,Very-High"
"13.26,17365,11.39,74.19,Very-High"
"12.81,20801,10.78,73.69,Very-High"
"12.64,18762,10.81,73.35,Very-High"
"12.61,10934,8.61,73.23,High"
"12.49,10410,8.31,71.36,High"
"12.24,8850,7.1,71.21,Normal"
"12,8052,7.19,70.32,Normal"
"12.7,10307,09.07,73.72,High"
"12.03,7961,7.53,71.59,Normal"
"12.54,7829,7.48,69.67,Normal"
"14.2,9259,7.9,72.02,High"
"12.23,9409,7.8,73.78,Normal"
"12.27,10368,7.1,72.18,Normal"
"12.23,9591,7.31,70.46,Normal"
"12.98,10262,8.52,72.62,High"
"12.26,9810,6.52,71.84,Normal"
"11.71,10854,7.11,72.58,Normal"
